'VmPeak','VmSize','VmHWM','VmRSS','VmPTE','Threads','MemFree','Buffers','Cached','Inactive','Dirty','Writeback','AnonPages','Mapped','Slab','PageTables','Committed_AS','NumOfAllocFH','proc-fd','avgThroughput','avgElapsed',Colonna 25,Principale1,Principale2,Principale3,Principale4,Cluster
152272,150216,25172,25108,160,18,5606776,31684,334640,141324,302384,5606776,8159224,56,0,77368,23772,27844,7192,295604,1530,28,-11.421692878122,-0.180917539704396,-0.268678969415896,0.99533533280168,2
152272,150216,25172,25108,160,9,5606600,31780,334648,141324,302488,5606600,8159224,24,0,77368,23772,27864,7192,297264,1530,29,-11.3617780732556,-0.150121864677217,-0.707231279155272,1.17752327541629,2
152272,150216,25172,25104,160,60,5605928,31876,334648,141316,302584,5605928,8159224,32,0,77360,23772,27868,7196,296964,1530,30,-11.3550067136316,0.0465796357277668,1.75462701326525,0.107906329894448,4
152272,150216,25172,25104,160,47,5606032,31972,334648,141324,302672,5606032,8159224,132,0,77368,23772,27884,7196,294908,1530,31,-11.433661107339,-0.0767797903860128,1.13062761433056,0.388399875192247,4
152272,150216,25172,25104,160,31,5605796,32068,334648,141320,302776,5605796,8159224,176,0,77364,23772,27776,7192,294908,1530,32,-11.4390920336392,-0.16004328105268,0.360381169685314,0.725565322803545,2
152272,150216,25172,25104,160,21,5606000,32172,334640,141316,302872,5606000,8159224,24,0,77360,23772,27772,7196,294908,1530,33,-11.4416127694078,-0.173606024308157,-0.125242556158589,0.933876710029251,2
152272,150216,25172,25104,160,9,5606344,32268,334648,141316,302968,5606344,8159224,56,0,77360,23772,27716,7192,294908,510,34,-11.4734156597163,-0.672823202053507,-2.02289771042966,-1.93796378412451,1
152272,150216,25172,25104,160,43,5605452,32364,334648,141316,303072,5605452,8159224,20,0,77360,23772,27820,7196,294744,1020,35,-11.4506580151443,-0.31686718515661,0.277714105394324,-1.08912836897632,3
152272,150216,25172,25104,160,54,5605488,32468,334648,141324,303172,5605488,8159224,36,0,77364,23772,27776,7196,296808,1020,36,-11.3707159355686,-0.19721271467084,0.804455296334769,-1.32800838485268,3
152272,150216,25172,25104,160,44,5605560,32564,334648,141320,303268,5605560,8159224,12,0,77360,23772,27812,7196,296752,1020,37,-11.3748180728651,-0.236414784188824,0.321466259887978,-1.11799096650404,3
152272,150216,25216,25208,160,31,5605424,32668,334644,141428,303368,5605424,8159224,184,0,77468,23772,27812,7192,294548,1020,38,-11.4321800772292,-0.384161680141162,-0.29859372453119,-0.836477073567121,1
152272,150216,25216,25208,160,21,5605380,32764,334652,141432,303468,5605380,8159224,140,0,77468,23772,27856,7196,294548,1530,39,-11.4198042291414,-0.179891472789606,-0.124340981113304,0.934135547304765,2
152272,150216,25228,25208,160,9,5605344,32860,334652,141432,303564,5605344,8159224,52,0,77468,23772,27860,7196,296596,1530,40,-11.3453300501886,-0.146427100474597,-0.708460321900628,1.1778437648067,2
152272,150216,25228,25208,160,56,5604472,32952,334644,141428,303648,5604472,8159224,28,0,77464,23772,27852,7192,298652,1530,41,-11.2526638266785,0.0744013404214741,1.56102121463393,0.186212105293025,4
152272,150216,25228,25208,160,50,5604760,33048,334652,141436,303752,5604760,8159224,68,0,77472,23772,27828,7192,298592,1530,42,-11.2565079474389,0.0520228557685982,1.27101057981599,0.312108546103245,4
152272,150216,25228,25208,160,34,5604888,33144,334652,141436,303848,5604888,8159224,36,0,77472,23772,27832,7196,296468,1530,43,-11.3387728556047,-0.0622015007837007,0.499754868825058,0.654378979493675,2
152272,150216,25228,25208,160,21,5605000,33240,334672,141432,303940,5605000,8159224,48,0,77468,23772,27824,7196,296528,1530,44,-11.3401818310512,-0.106963488425066,-0.128587478483063,0.926738430933,2
152272,150216,25228,25208,160,9,5604980,33336,334672,141440,304040,5604980,8159224,124,0,77472,23772,27860,7192,294324,1530,45,-11.4238547818832,-0.259391014107493,-0.700782496563944,1.18871288605676,2
152272,150216,25228,25208,160,58,5604588,33440,334672,141440,304136,5604588,8159224,148,0,77472,23772,27852,7192,294280,1530,46,-11.4084018942503,-0.0849166211708194,1.66684824806223,0.161623146947797,4
152272,150216,25228,25208,160,49,5604288,33536,334672,141440,304232,5604288,8159224,8,0,77472,23772,27808,7196,294112,1530,47,-11.4161333936305,-0.100779118559714,1.22983631488254,0.349574627301596,4
152272,150216,25228,25208,160,37,5604252,33632,334672,141444,304332,5604252,8159224,40,0,77472,23772,27796,7196,294112,1530,48,-11.4190303820454,-0.143467665304158,0.649835586209566,0.601127821077391,2
152272,150216,25276,25208,160,21,5604256,33736,334672,141444,304436,5604256,8159224,8,0,77472,23772,27864,7192,294120,1530,49,-11.4151394162419,-0.229304485288566,-0.120058891366719,0.938658025869021,2
152272,151436,25412,25408,160,10,5604220,33832,334672,141644,304532,5604220,8159224,28,0,77672,23772,27816,7196,296224,1020,50,-11.2298570026079,-0.377408016306276,-1.31601797649297,-0.406705527667555,1
152272,151436,25412,25408,160,9,5604368,33936,334672,141640,304628,5604368,8159224,8,0,77668,23772,27888,7196,296184,1020,51,-11.2301816068903,-0.383597948119245,-1.364187563988,-0.385433971953484,1
152272,151436,26132,26128,160,57,5602860,34032,334672,142368,304724,5602860,8159224,176,0,78396,23772,27900,7192,295952,1020,52,-10.9728494606092,-0.213511974356919,0.964828054116021,-1.39579626802458,3
152272,151436,26132,26128,160,46,5602584,34128,334672,142364,304828,5602584,8159224,144,0,78392,23772,27848,7196,297588,1020,53,-10.9149947775841,-0.165230083904333,0.426692652820366,-1.17331132961282,3
152272,151436,26132,26128,160,27,5602728,34224,334672,142364,304916,5602728,8159224,56,0,78392,23772,27936,7196,297300,1020,54,-10.9298337468857,-0.246566516823975,-0.490431633734084,-0.773575960093176,1
152272,151436,26136,26128,160,13,5603220,34320,334672,142360,305012,5603220,8159224,20,0,78388,23772,27860,7196,297180,1530,55,-10.9257949411159,-0.0875643921447988,-0.506080814317924,1.08313136106509,2
152272,151436,26136,26128,160,9,5603120,34424,334676,142364,305120,5603120,8159224,48,0,78392,23772,27792,7196,294828,1530,56,-11.0132410448292,-0.191912572582538,-0.694204687195356,1.17631244212665,2
