r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,time
13,0,0,677880,51468,493496,0,0,0,38,8092,26472,45,47,3,5,0,0 2025-10-22
8,0,0,680616,51468,493472,0,0,0,0,9184,30947,48,43,3,5,0,0 2025-10-22
8,0,0,680012,51468,493504,0,0,0,0,9025,30430,50,42,3,5,0,0 2025-10-22
3,1,0,679304,51476,493488,0,0,0,96,8785,30084,48,44,3,5,0,0 2025-10-22
9,1,0,677896,51476,493504,0,0,0,0,9116,31193,44,47,3,5,0,0 2025-10-22
8,2,0,679208,51484,493488,0,0,0,8,9051,31203,46,46,3,5,0,0 2025-10-22
6,0,0,679632,51484,493484,0,0,0,0,9190,30944,45,47,3,5,0,0 2025-10-22
6,1,0,681944,51484,493456,0,0,0,42,9041,30857,47,46,2,5,0,0 2025-10-22
procs,-----------memory----------,---swap--,-----io----,-system--,-------cpu-------,-----timestamp-----,,,,,,,,,,, 
r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,gu CEST
6,0,0,678796,51484,493492,0,0,0,46,9197,31075,48,44,3,5,0,0 2025-10-22
7,0,0,679832,51484,493548,0,0,0,0,9078,31280,46,46,3,5,0,0 2025-10-22
5,0,0,680180,51484,493500,0,0,0,0,9113,31460,46,46,3,6,0,0 2025-10-22
4,1,0,680820,51484,493504,0,0,0,0,9098,31350,46,46,3,5,0,0 2025-10-22
5,1,0,680936,51484,493500,0,0,0,0,8877,31400,48,45,3,5,0,0 2025-10-22
7,1,0,681548,51484,493448,0,0,0,0,8874,31054,45,47,3,5,0,0 2025-10-22
10,0,0,681964,51484,493436,0,0,0,0,9016,31026,45,48,3,5,0,0 2025-10-22
5,0,0,680756,51484,493464,0,0,0,0,8951,31269,48,44,3,5,0,0 2025-10-22
7,0,0,681964,51484,493432,0,0,0,0,9037,31409,48,44,3,5,0,0 2025-10-22
5,0,0,680016,51484,493448,0,0,0,0,9084,30924,47,44,3,6,0,0 2025-10-22
8,0,0,678956,51484,493500,0,0,0,0,9077,30819,46,47,2,5,0,0 2025-10-22
7,1,0,679128,51484,493496,0,0,0,0,9076,30906,47,45,2,5,0,0 2025-10-22
6,0,0,742228,51484,493492,0,0,0,0,9052,30892,45,47,3,5,0,0 2025-10-22
7,0,0,743564,51484,493452,0,0,0,0,9083,30958,43,49,3,5,0,0 2025-10-22
3,1,0,743848,51484,493480,0,0,0,0,8962,31058,44,48,3,5,0,0 2025-10-22
5,2,0,744188,51484,493480,0,0,0,0,8991,31261,45,47,3,5,0,0 2025-10-22
7,0,0,743076,51492,493496,0,0,0,84,9040,30992,46,46,3,5,0,0 2025-10-22
2,4,0,743720,51492,493544,0,0,0,0,8805,29714,46,46,3,5,0,0 2025-10-22
3,4,0,742288,51492,493504,0,0,0,10,8822,30119,47,45,3,5,0,0 2025-10-22
6,0,0,741744,51500,493464,0,0,0,8,8975,30841,48,44,3,5,0,0 2025-10-22
6,1,0,742896,51500,493496,0,0,0,0,9101,30948,50,43,3,5,0,0 2025-10-22
procs,-----------memory----------,---swap--,-----io----,-system--,-------cpu-------,-----timestamp-----,,,,,,,,,,, 
r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,gu CEST
7,0,0,742336,51500,493512,0,0,0,4,9216,31346,47,45,3,5,0,0 2025-10-22
8,0,0,743732,51500,493496,0,0,0,0,9082,31252,48,44,3,5,0,0 2025-10-22
4,2,0,743716,51500,493528,0,0,0,0,8793,30060,46,46,3,5,0,0 2025-10-22
7,0,0,740848,51500,493456,0,0,0,0,8928,30865,46,47,2,5,0,0 2025-10-22
9,1,0,743104,51500,493464,0,0,0,0,8849,30943,47,46,2,5,0,0 2025-10-22
8,0,0,741500,51508,493484,0,0,0,12,9122,31162,47,46,2,5,0,0 2025-10-22
6,0,0,744048,51508,493524,0,0,0,0,9054,31284,48,45,3,5,0,0 2025-10-22
1,2,0,743292,51508,493508,0,0,0,4,9165,32087,48,45,2,5,0,0 2025-10-22
6,0,0,744032,51508,493524,0,0,0,0,9093,31687,48,45,2,5,0,0 2025-10-22
6,0,0,744084,51508,493484,0,0,0,0,9198,31921,49,44,3,5,0,0 2025-10-22
6,0,0,743496,51508,493500,0,0,0,0,9228,31929,46,47,2,5,0,0 2025-10-22
7,0,0,743384,51508,493416,0,0,0,0,9334,31880,49,44,3,5,0,0 2025-10-22
8,0,0,742192,51508,493500,0,0,0,0,9376,32114,49,44,3,4,0,0 2025-10-22
8,0,0,743952,51508,493500,0,0,0,0,9231,31887,48,46,2,5,0,0 2025-10-22
6,0,0,744604,51508,493492,0,0,0,0,9133,32127,47,46,2,5,0,0 2025-10-22
6,0,0,743928,51508,493500,0,0,0,0,9038,32221,50,44,2,4,0,0 2025-10-22
4,1,0,743808,51508,493416,0,0,0,0,9007,32044,47,46,2,4,0,0 2025-10-22
6,0,0,742980,51508,493500,0,0,0,0,9095,32347,48,46,2,5,0,0 2025-10-22
8,0,0,743816,51508,493504,0,0,0,0,9272,32204,49,44,2,5,0,0 2025-10-22
7,0,0,743804,51508,493500,0,0,0,0,9273,32487,51,43,2,4,0,0 2025-10-22
8,0,0,741788,51508,493492,0,0,0,0,9216,32269,45,49,2,4,0,0 2025-10-22
procs,-----------memory----------,---swap--,-----io----,-system--,-------cpu-------,-----timestamp-----,,,,,,,,,,, 
r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,gu CEST
9,0,0,743596,51508,493484,0,0,0,0,9251,32295,48,45,2,4,0,0 2025-10-22
9,0,0,742936,51508,493480,0,0,0,0,9183,32171,47,47,2,5,0,0 2025-10-22
6,0,0,740084,51508,493484,0,0,0,0,9308,32537,48,46,1,4,0,0 2025-10-22
5,3,0,743424,51508,493448,0,0,0,0,9230,32381,47,47,2,4,0,0 2025-10-22
7,0,0,743764,51508,493500,0,0,0,0,9206,32573,45,49,2,5,0,0 2025-10-22
3,3,0,742844,51508,493520,0,0,0,0,9337,32529,47,48,2,4,0,0 2025-10-22
7,0,0,743096,51508,493416,0,0,0,0,9487,32635,48,46,2,4,0,0 2025-10-22
7,1,0,742236,51508,493448,0,0,0,0,9276,32450,48,46,2,4,0,0 2025-10-22
2,2,0,743656,51508,493516,0,0,0,0,9090,32684,48,46,2,4,0,0 2025-10-22
7,0,0,744784,51516,493468,0,0,0,6,9314,32694,48,47,1,4,0,0 2025-10-22
5,0,0,742928,51516,493424,0,0,0,0,9264,32877,49,45,2,4,0,0 2025-10-22
9,0,0,743296,51516,493500,0,0,0,2,9309,32868,53,42,1,4,0,0 2025-10-22
8,0,0,743916,51516,493492,0,0,0,0,9189,32890,49,46,1,3,0,0 2025-10-22
5,0,0,743056,51516,493432,0,0,0,0,9313,32595,48,46,2,4,0,0 2025-10-22
8,0,0,743572,51516,493524,0,0,0,0,9514,33087,47,47,2,4,0,0 2025-10-22
6,0,0,742416,51516,493492,0,0,0,0,9325,32814,48,47,2,4,0,0 2025-10-22
6,1,0,743896,51516,493500,0,0,0,0,9246,33080,47,48,1,4,0,0 2025-10-22
6,0,0,743560,51516,493432,0,0,0,0,9327,33048,48,46,2,4,0,0 2025-10-22
5,0,0,743644,51516,493500,0,0,0,0,9260,32909,48,46,1,4,0,0 2025-10-22
4,1,0,743844,51516,493440,0,0,0,0,9320,33052,49,46,1,4,0,0 2025-10-22
9,0,0,744512,51516,493516,0,0,0,0,9406,33061,49,46,1,4,0,0 2025-10-22
procs,-----------memory----------,---swap--,-----io----,-system--,-------cpu-------,-----timestamp-----,,,,,,,,,,, 
r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,gu CEST
7,1,0,742064,51516,493484,0,0,0,0,9295,32905,48,47,1,3,0,0 2025-10-22
5,0,0,743852,51516,493500,0,0,0,0,9313,33094,46,49,1,4,0,0 2025-10-22
4,2,0,742488,51516,493496,0,0,0,0,9357,32734,47,48,1,4,0,0 2025-10-22
7,1,0,742740,51516,493456,0,0,0,0,9290,33061,48,46,1,4,0,0 2025-10-22
7,0,0,742676,51516,493500,0,0,0,0,9292,33128,48,47,1,4,0,0 2025-10-22
5,0,0,742688,51516,493416,0,0,0,0,9417,33084,46,49,1,4,0,0 2025-10-22
5,0,0,743100,51516,493488,0,0,0,0,9447,33308,47,48,1,4,0,0 2025-10-22
7,1,0,744644,51516,493516,0,0,0,0,9516,33116,49,47,1,4,0,0 2025-10-22
10,1,0,743088,51516,493524,0,0,0,0,9423,33147,50,46,1,4,0,0 2025-10-22
6,0,0,743052,51516,493492,0,0,0,0,9395,33304,50,45,1,4,0,0 2025-10-22
7,0,0,744084,51524,493480,0,0,0,16,9404,33083,48,47,1,4,0,0 2025-10-22
7,0,0,744420,51524,493508,0,0,0,0,9493,33493,45,50,1,4,0,0 2025-10-22
6,0,0,742160,51524,493500,0,0,0,0,9389,33248,48,47,1,4,0,0 2025-10-22
6,0,0,743048,51532,493488,0,0,0,78,9340,33159,50,46,1,4,0,0 2025-10-22
6,1,0,742232,51532,493504,0,0,0,0,9345,33217,49,47,1,3,0,0 2025-10-22
6,0,0,742304,51532,493504,0,0,0,0,9298,32612,44,51,1,4,0,0 2025-10-22
5,0,0,742760,51532,493488,0,0,0,10,9572,33258,48,47,1,4,0,0 2025-10-22
8,0,0,742952,51532,493528,0,0,0,0,9565,33392,49,46,1,4,0,0 2025-10-22
3,2,0,741524,51540,493472,0,0,0,6,9348,33222,50,45,1,4,0,0 2025-10-22
7,0,0,743736,51540,493488,0,0,0,0,9614,33401,44,51,1,3,0,0 2025-10-22
3,3,0,742980,51540,493532,0,0,0,0,9554,33321,47,49,1,3,0,0 2025-10-22
procs,-----------memory----------,---swap--,-----io----,-system--,-------cpu-------,-----timestamp-----,,,,,,,,,,, 
r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,gu CEST
2,4,0,742340,51540,493496,0,0,0,2,9456,33268,48,48,1,3,0,0 2025-10-22
7,1,0,739324,51540,493504,0,0,0,0,9439,33194,48,48,1,4,0,0 2025-10-22
5,0,0,741920,51540,493504,0,0,0,0,9401,33064,44,51,1,4,0,0 2025-10-22
5,0,0,743012,51540,493456,0,0,0,0,9524,33165,50,46,1,3,0,0 2025-10-22
9,0,0,743444,51540,493512,0,0,0,0,9526,33356,47,49,1,3,0,0 2025-10-22
7,0,0,743012,51540,493504,0,0,0,0,9591,33621,49,47,1,3,0,0 2025-10-22
6,0,0,742324,51540,493512,0,0,0,0,9619,33572,49,47,1,3,0,0 2025-10-22
5,0,0,744344,51540,493524,0,0,0,0,9549,33420,48,47,1,4,0,0 2025-10-22
6,0,0,742832,51540,493504,0,0,0,0,9497,33218,47,48,1,3,0,0 2025-10-22
3,2,0,743212,51540,493468,0,0,0,0,9430,33228,50,46,1,4,0,0 2025-10-22
6,0,0,741476,51540,493520,0,0,0,0,9589,33303,47,48,1,3,0,0 2025-10-22
4,2,0,741728,51540,493492,0,0,0,0,9530,33353,50,46,1,3,0,0 2025-10-22
4,2,0,740888,51540,493528,0,0,0,0,9378,33480,48,48,1,4,0,0 2025-10-22
8,0,0,739384,51540,493488,0,0,0,0,9382,33480,48,47,1,3,0,0 2025-10-22
5,2,0,743668,51540,493504,0,0,0,0,9349,33417,49,47,1,3,0,0 2025-10-22
5,1,0,743920,51540,493448,0,0,0,0,9447,33101,49,47,1,3,0,0 2025-10-22
6,0,0,741736,51540,493472,0,0,0,0,9520,33484,47,48,1,3,0,0 2025-10-22
9,0,0,741920,51540,493460,0,0,0,0,9407,33302,52,44,1,3,0,0 2025-10-22
6,1,0,741340,51540,493512,0,0,0,0,9440,33435,49,46,1,4,0,0 2025-10-22
10,0,0,742568,51540,493552,0,0,0,0,9465,33577,47,48,1,3,0,0 2025-10-22
5,1,0,744048,51540,493512,0,0,0,0,9501,33350,49,47,1,4,0,0 2025-10-22
procs,-----------memory----------,---swap--,-----io----,-system--,-------cpu-------,-----timestamp-----,,,,,,,,,,, 
r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,gu CEST
7,0,0,740716,51540,493436,0,0,0,0,9548,33360,48,47,1,3,0,0 2025-10-22
8,1,0,743244,51540,493520,0,0,0,0,9547,33287,53,43,1,4,0,0 2025-10-22
4,3,0,742800,51540,493488,0,0,0,0,9373,33285,46,49,1,3,0,0 2025-10-22
7,0,0,737984,51540,493504,0,0,0,0,9624,33347,47,49,1,3,0,0 2025-10-22
11,0,0,742772,51540,493524,0,0,0,0,9651,33477,45,51,1,3,0,0 2025-10-22
7,2,0,743520,51540,493504,0,0,0,0,9666,33386,50,45,1,4,0,0 2025-10-22
6,0,0,743296,51548,493464,0,0,0,6,9342,33355,51,45,1,3,0,0 2025-10-22
4,0,0,742112,51548,493488,0,0,0,0,9322,33136,49,46,1,4,0,0 2025-10-22
6,0,0,743068,51548,493424,0,0,0,0,9490,33179,49,46,1,4,0,0 2025-10-22
2,4,0,743580,51548,493488,0,0,0,2,9453,33222,46,50,1,3,0,0 2025-10-22
6,0,0,740188,51548,493456,0,0,0,0,9481,33375,47,49,1,4,0,0 2025-10-22
7,0,0,741452,51548,493404,0,0,0,0,9455,33432,52,43,1,4,0,0 2025-10-22
8,0,0,742280,51548,493480,0,0,0,0,9521,33534,48,48,1,4,0,0 2025-10-22
9,0,0,744296,51548,493488,0,0,0,0,9340,33205,47,48,1,4,0,0 2025-10-22
6,0,0,741748,51548,493520,0,0,0,0,9393,33402,48,47,1,4,0,0 2025-10-22
5,0,0,740856,51548,493488,0,0,0,0,9440,33278,48,47,1,4,0,0 2025-10-22
7,0,0,741320,51548,493472,0,0,0,0,9364,33527,46,50,1,4,0,0 2025-10-22
12,0,0,738060,51548,493488,0,0,0,0,9175,33387,46,49,1,3,0,0 2025-10-22
4,3,0,738852,51548,493440,0,0,0,0,9360,33115,48,47,1,4,0,0 2025-10-22
5,1,0,741224,51548,493488,0,0,0,0,9563,33372,45,51,1,3,0,0 2025-10-22
3,3,0,739508,51556,493472,0,0,0,8,9484,33335,50,45,1,4,0,0 2025-10-22
procs,-----------memory----------,---swap--,-----io----,-system--,-------cpu-------,-----timestamp-----,,,,,,,,,,, 
r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,gu CEST
11,1,0,739344,51556,493504,0,0,0,0,9371,33421,47,49,1,4,0,0 2025-10-22
3,3,0,737076,51556,493468,0,0,0,2,9511,33491,50,46,1,3,0,0 2025-10-22
6,0,0,738932,51556,493492,0,0,0,0,9450,33363,50,46,1,3,0,0 2025-10-22
1,5,0,740252,51556,493444,0,0,0,0,9461,33438,49,47,1,3,0,0 2025-10-22
7,0,0,739832,51556,493492,0,0,0,0,9472,33277,46,50,1,3,0,0 2025-10-22
9,0,0,744168,51556,493500,0,0,0,0,9577,33252,51,45,1,3,0,0 2025-10-22
4,1,0,744700,51556,493484,0,0,0,0,9515,33197,49,47,1,4,0,0 2025-10-22
7,0,0,745044,51556,493472,0,0,0,0,9557,33097,49,46,1,4,0,0 2025-10-22
3,2,0,745084,51556,493400,0,0,0,0,9545,33234,47,49,1,3,0,0 2025-10-22
5,0,0,745268,51556,493432,0,0,0,0,9621,33394,44,51,1,4,0,0 2025-10-22
8,0,0,747048,51556,493504,0,0,0,0,9459,33413,46,50,1,4,0,0 2025-10-22
7,0,0,743968,51556,493476,0,0,0,0,9571,33175,48,48,1,3,0,0 2025-10-22
5,1,0,745744,51556,493400,0,0,0,0,9355,33333,50,46,1,3,0,0 2025-10-22
5,1,0,748900,51556,493440,0,0,0,0,9596,33273,51,45,1,4,0,0 2025-10-22
10,0,0,750916,51556,493476,0,0,0,0,9580,33385,45,50,1,3,0,0 2025-10-22
10,2,0,746340,51556,493492,0,0,0,0,9424,33447,49,46,1,4,0,0 2025-10-22
5,0,0,748908,51564,493468,0,0,0,6,9641,33639,47,49,1,4,0,0 2025-10-22
6,0,0,746644,51564,493428,0,0,0,0,9339,33233,49,46,1,4,0,0 2025-10-22
8,0,0,758432,51564,493440,0,0,0,2,9437,33340,48,47,1,4,0,0 2025-10-22
4,2,0,752704,51564,493532,0,0,0,0,9460,33503,47,48,1,4,0,0 2025-10-22
6,0,0,750032,51564,493468,0,0,0,0,9394,33272,49,46,1,3,0,0 2025-10-22
procs,-----------memory----------,---swap--,-----io----,-system--,-------cpu-------,-----timestamp-----,,,,,,,,,,, 
r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,gu CEST
12,0,0,745432,51572,493492,0,0,0,10,9413,33248,48,48,1,4,0,0 2025-10-22
7,0,0,744632,51572,493476,0,0,0,0,9524,33326,47,48,1,3,0,0 2025-10-22
5,0,0,745676,51572,493428,0,0,0,40,9490,33297,47,49,1,4,0,0 2025-10-22
6,1,0,745004,51580,493476,0,0,0,28,9389,33321,47,49,1,4,0,0 2025-10-22
9,1,0,744816,51580,493468,0,0,0,0,9313,33235,47,49,1,4,0,0 2025-10-22
4,0,0,744340,51580,493392,0,0,0,24,9445,33477,49,47,1,3,0,0 2025-10-22
4,1,0,746188,51580,493460,0,0,0,0,9297,33377,46,49,1,3,0,0 2025-10-22
5,0,0,744808,51580,493476,0,0,0,0,9496,33358,48,48,1,3,0,0 2025-10-22
7,0,0,744676,51580,493440,0,0,0,0,9496,33367,46,50,1,3,0,0 2025-10-22
2,3,0,744684,51580,493476,0,0,0,0,9511,33361,51,44,1,4,0,0 2025-10-22
6,0,0,746448,51580,493444,0,0,0,0,9670,33495,47,49,1,3,0,0 2025-10-22
5,0,0,745952,51580,493400,0,0,0,0,9445,33421,48,48,1,4,0,0 2025-10-22
5,2,0,746248,51580,493428,0,0,0,0,9462,33255,49,47,1,3,0,0 2025-10-22
8,1,0,744840,51580,493476,0,0,0,0,9524,33286,47,48,1,4,0,0 2025-10-22
7,0,0,745196,51580,493456,0,0,0,0,9353,33272,48,47,1,4,0,0 2025-10-22
8,0,0,744944,51580,493468,0,0,0,0,9463,33301,49,47,1,3,0,0 2025-10-22
4,2,0,745200,51580,493484,0,0,0,0,9488,33363,48,48,1,3,0,0 2025-10-22
5,0,0,747492,51580,493476,0,0,0,0,9334,33179,48,48,1,4,0,0 2025-10-22
9,0,0,746548,51580,493520,0,0,0,0,9294,33174,47,48,1,4,0,0 2025-10-22
7,0,0,745844,51580,493476,0,0,0,0,9344,33187,51,45,1,4,0,0 2025-10-22
6,0,0,745412,51580,493492,0,0,0,0,9536,33244,49,47,1,4,0,0 2025-10-22
procs,-----------memory----------,---swap--,-----io----,-system--,-------cpu-------,-----timestamp-----,,,,,,,,,,, 
r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,gu CEST
9,0,0,744688,51580,493476,0,0,0,0,9344,33003,49,46,1,4,0,0 2025-10-22
3,4,0,743932,51580,493472,0,0,0,0,9592,33275,47,49,1,4,0,0 2025-10-22
6,0,0,745824,51580,493476,0,0,0,0,9464,33319,47,49,1,3,0,0 2025-10-22
5,1,0,743556,51580,493456,0,0,0,0,9393,33042,49,46,1,4,0,0 2025-10-22
5,0,0,742564,51588,493524,0,0,0,6,8810,31201,51,45,1,4,0,0 2025-10-22
5,0,0,742028,51588,493392,0,0,0,0,8746,30989,49,47,1,3,0,0 2025-10-22
7,0,0,743072,51588,493476,0,0,0,0,9282,33117,51,44,1,4,0,0 2025-10-22
6,1,0,748008,51588,493492,0,0,0,0,9387,33440,49,46,1,4,0,0 2025-10-22
8,1,0,747156,51588,493528,0,0,0,0,9280,33078,48,48,1,3,0,0 2025-10-22
3,3,0,744608,51588,493460,0,0,0,0,9162,32028,48,48,1,3,0,0 2025-10-22
5,0,0,747196,51588,493476,0,0,0,0,9357,33198,49,47,1,3,0,0 2025-10-22
7,0,0,745356,51588,493476,0,0,0,0,9459,33565,49,46,1,4,0,0 2025-10-22
5,0,0,745500,51588,493480,0,0,0,0,9290,33203,50,45,1,4,0,0 2025-10-22
6,0,0,743232,51588,493512,0,0,0,0,8775,31066,49,45,1,4,0,0 2025-10-22
6,2,0,741160,51588,493464,0,0,0,0,8925,31376,47,47,2,4,0,0 2025-10-22
7,0,0,747992,51588,493492,0,0,0,0,9175,32403,49,45,2,4,0,0 2025-10-22
6,0,0,743716,51588,493480,0,0,0,0,9308,32541,48,47,2,4,0,0 2025-10-22
7,0,0,743672,51588,493464,0,0,0,0,9305,33049,47,48,2,4,0,0 2025-10-22
10,0,0,744772,51588,493480,0,0,0,0,9247,32639,50,45,2,4,0,0 2025-10-22
9,0,0,746420,51588,493464,0,0,0,2,9268,32795,49,45,2,4,0,0 2025-10-22
7,0,0,745656,51588,493480,0,0,0,0,9164,32730,48,47,2,4,0,0 2025-10-22
procs,-----------memory----------,---swap--,-----io----,-system--,-------cpu-------,-----timestamp-----,,,,,,,,,,, 
r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,gu CEST
6,0,0,747436,51588,493428,0,0,0,0,9401,32881,47,49,1,4,0,0 2025-10-22
7,0,0,744656,51588,493480,0,0,0,0,9339,32676,45,50,1,4,0,0 2025-10-22
5,1,0,745812,51588,493480,0,0,0,0,9270,32725,48,47,1,4,0,0 2025-10-22
6,1,0,744512,51588,493496,0,0,0,0,9305,33043,46,49,1,4,0,0 2025-10-22
6,0,0,745372,51588,493476,0,0,0,0,9177,32641,48,47,1,4,0,0 2025-10-22
3,0,0,745600,51588,493480,0,0,0,0,9300,32938,50,44,2,4,0,0 2025-10-22
5,0,0,744544,51588,493412,0,0,0,0,9347,32808,47,48,1,4,0,0 2025-10-22
7,1,0,744976,51588,493480,0,0,0,0,9289,32855,47,48,1,4,0,0 2025-10-22
2,3,0,745520,51588,493480,0,0,0,0,9447,32908,48,46,2,4,0,0 2025-10-22
7,1,0,746216,51588,493396,0,0,0,0,9275,32904,48,46,1,4,0,0 2025-10-22
8,0,0,745888,51588,493428,0,0,0,0,9340,33222,47,48,1,4,0,0 2025-10-22
9,1,0,745636,51588,493480,0,0,0,0,9273,33144,50,45,1,4,0,0 2025-10-22
8,0,0,744560,51588,493460,0,0,0,0,9245,32981,51,44,2,4,0,0 2025-10-22
5,0,0,742748,51596,493472,0,0,0,6,9235,32973,49,47,1,4,0,0 2025-10-22
6,0,0,745684,51596,493464,0,0,0,0,9217,33042,48,46,1,4,0,0 2025-10-22
8,0,0,742512,51596,493480,0,0,0,0,9423,33132,48,47,1,4,0,0 2025-10-22
5,0,0,743520,51596,493464,0,0,0,0,9378,33080,49,46,1,3,0,0 2025-10-22
3,0,0,745480,51596,493480,0,0,0,0,9383,33105,48,47,1,4,0,0 2025-10-22
6,0,0,745268,51596,493452,0,0,0,0,9519,33255,50,45,1,3,0,0 2025-10-22
8,1,0,744716,51596,493464,0,0,0,0,9478,33306,49,46,1,3,0,0 2025-10-22
10,0,0,745840,51596,493416,0,0,0,0,9397,33220,51,45,1,4,0,0 2025-10-22
procs,-----------memory----------,---swap--,-----io----,-system--,-------cpu-------,-----timestamp-----,,,,,,,,,,, 
r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,gu CEST
5,2,0,744880,51596,493480,0,0,0,0,9298,33100,48,47,1,4,0,0 2025-10-22
5,1,0,745260,51596,493396,0,0,0,0,9396,33172,48,47,1,4,0,0 2025-10-22
5,0,0,746456,51596,493480,0,0,0,0,9167,32947,49,47,1,4,0,0 2025-10-22
8,0,0,742068,51596,493412,0,0,0,0,9381,33208,49,47,1,4,0,0 2025-10-22
5,0,0,745320,51596,493480,0,0,0,0,9436,32958,49,46,1,4,0,0 2025-10-22
4,3,0,741668,51596,493516,0,0,0,0,9438,33205,47,49,1,4,0,0 2025-10-22
5,3,0,746112,51596,493480,0,0,0,0,9484,33344,48,48,1,3,0,0 2025-10-22
5,0,0,743604,51596,493480,0,0,0,2,9401,33322,49,46,1,4,0,0 2025-10-22
4,2,0,742492,51596,493480,0,0,0,0,9529,33528,48,48,1,3,0,0 2025-10-22
6,0,0,742272,51596,493496,0,0,0,0,9232,33196,50,45,1,4,0,0 2025-10-22
6,0,0,745452,51596,493396,0,0,0,0,9397,33087,48,47,1,4,0,0 2025-10-22
6,2,0,744912,51596,493468,0,0,0,0,9437,33231,50,46,1,4,0,0 2025-10-22
