r,b,free,buff,cache,bi,bo,in,cs,us,sy,id,wa,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7,Principale8,Cluster
0,0,502500,43932,1060872,0,0,1489,1393,1,1,98,0,"4,7849612625","-3,365098962","-2,384342201","0,0404508702","-1,346548669","0,7436620659","-1,583576766","0,0790866916",7
0,0,503064,43932,1060872,0,0,558,263,0,0,99,0,"-1,040551733","-1,746128249","-0,053459226","0,0573016682","-0,392994607","-0,09012042","-0,509169485","0,0652265756",7
0,0,502344,43932,1060876,0,0,586,259,0,0,100,0,"-1,878839633","-1,518104424","0,0750883196","0,0583293293","-0,448140271","-0,065865854","-0,550832021","0,6309548082",7
0,0,502712,43932,1060876,0,0,695,312,0,1,99,0,"-0,158822292","-1,726570301","-0,255110611","-0,586063078","0,4378815096","-0,592959874","-0,040570346","-0,770939072",1
0,0,501916,43940,1060872,0,16,700,400,0,1,99,0,"0,1462378187","-1,761043174","-0,319824067","-0,283454842","0,3863690529","-0,534395103","0,2206915848","-0,627726082",1
0,0,502480,43940,1060880,0,0,704,293,0,1,99,0,"-0,18553213","-1,684344278","-0,231095424","-0,602571749","0,4629027261","-0,610123492","-0,024833438","-0,761292543",1
0,0,501924,43940,1060884,0,0,811,279,0,1,99,0,"-0,150649647","-1,642154455","-0,239791128","-0,685466515","0,5254216181","-0,649008647","0,0015294445","-0,628683877",1
0,0,502512,43940,1060884,0,0,794,266,0,1,99,0,"-0,21382535","-1,679250349","-0,22567043","-0,669969358","0,5230523593","-0,651049155","0,0109459665","-0,66824384",1
0,0,502428,43940,1060888,0,0,999,332,0,1,99,0,"0,0152302803","-1,750158769","-0,3691224","-0,766091037","0,5300079666","-0,644653324","-0,01155512","-0,405348998",1
0,0,502004,43948,1060892,0,16,601,249,0,0,99,0,"-0,935772341","-1,676225556","0,0000593574","0,2858407166","-0,322165325","-0,12089063","-0,1603837","0,2219338731",7
0,0,503044,43948,1060892,0,0,583,268,0,0,99,0,"-1,015438246","-1,73100099","-0,066147006","0,0489651456","-0,392562207","-0,088519486","-0,510487384","0,0970480382",7
0,0,503504,43948,1060892,0,0,686,287,0,1,99,0,"-0,252020224","-1,752498685","-0,230180252","-0,572289192","0,4437823016","-0,601408418","-0,020698629","-0,810346169",1
0,0,503340,43948,1060900,0,0,646,273,0,1,99,0,"-0,290592249","-1,722040415","-0,198578983","-0,557421842","0,4465449984","-0,604873254","-0,015850853","-0,857342497",1
0,0,503304,43948,1060904,0,0,641,262,0,0,100,0,"-1,892842529","-1,587105259","0,0437455233","0,0494140819","-0,45102292","-0,064923648","-0,543526888","0,6714064015",7
0,0,503688,43956,1060896,0,16,548,266,0,0,100,0,"-1,868602614","-1,644054992","0,0985776704","0,394846951","-0,470154582","-0,042198824","-0,226068837","0,6402132326",7
0,0,503680,43956,1060904,0,0,3203,580,0,1,99,0,"1,343091267","-2,331036523","-1,365949937","-1,972632629","1,0458328314","-0,921449039","0,1259888056","2,1958836726",6
0,0,503384,43956,1060908,0,0,706,285,0,1,99,0,"-0,241472282","-1,732957046","-0,231900147","-0,585234924","0,4531954966","-0,606627345","-0,01683147","-0,784564686",1
0,0,503792,43956,1060912,0,0,683,250,0,1,99,0,"-0,347755823","-1,737394982","-0,186521726","-0,57987965","0,4745102295","-0,626099125","0,009098079","-0,834471902",1
0,0,502696,43956,1060912,0,0,693,304,0,1,99,0,"-0,171302539","-1,687424181","-0,243015007","-0,581340662","0,4400947056","-0,593970589","-0,03596252","-0,774784601",1
0,0,503484,43964,1060916,0,24,741,294,0,1,99,0,"-0,111005423","-1,808651697","-0,201220298","-0,182878564","0,4933066912","-0,612955654","0,4826569107","-0,616728062",1
0,0,503228,43964,1060916,0,0,557,244,0,0,100,0,"-1,957756602","-1,535344703","0,0935868127","0,095938902","-0,465181206","-0,057961421","-0,542950534","0,570453884",7
0,0,503896,43964,1060920,0,0,640,254,0,1,99,0,"-0,358034723","-1,732810896","-0,179101299","-0,547110461","0,4511817801","-0,611018898","-0,000983155","-0,884965552",1
0,0,503584,43964,1060924,0,0,738,277,0,1,99,0,"-0,254924129","-1,737407768","-0,23378018","-0,602283243","0,467898876","-0,616790911","-0,005463485","-0,755409533",1
