procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 507264  44016 1055168    0    0     0     0 1072  504  0  2 98  0  0  0
 0  0      0 507204  44016 1055168    0    0     0     0  674  264  0  1 99  0  0  0
 1  0      0 504744  44016 1055172    0    0     0     0 1409  511  1  3 97  0  0  0
 0  0      0 506612  44024 1055180    0    0     0    28  922  344  0  1 98  0  0  0
 0  0      0 506752  44024 1055180    0    0     0     0  864  279  0  1 99  0  0  0
 0  0      0 506204  44024 1055184    0    0     0     0  893  302  0  1 99  0  0  0
 0  0      0 506800  44024 1055184    0    0     0     0  732  258  0  1 99  0  0  0
 0  0      0 506480  44024 1055188    0    0     0     0  826  296  0  1 99  0  0  0
 0  0      0 506536  44032 1055188    0    0     0    24  772  262  0  1 99  0  0  0
 0  0      0 506336  44032 1055192    0    0     0     0  901  320  0  1 99  0  0  0
 0  0      0 506680  44032 1055192    0    0     0     0  823  268  0  1 98  0  0  0
 0  0      0 506704  44032 1055196    0    0     0     0  899  347  1  1 98  0  0  0
 0  0      0 506748  44032 1055196    0    0     0     0  622  257  0  1 99  0  0  0
 0  0      0 506696  44040 1055200    0    0     0   116  893  341  0  1 99  0  0  0
 1  0      0 506252  44040 1055200    0    0     0     0  787  276  0  1 99  0  0  0
 0  0      0 506344  44040 1055204    0    0     0     0  854  287  0  1 99  0  0  0
 3  0      0 504096  44040 1055204    0    0     0     0  742  262  0  1 99  0  0  0
 0  0      0 506108  44040 1055208    0    0     0     0 1066  354  0  1 99  0  0  0
 1  0      0 502244  44048 1055208    0    0     0    24  782  269  0  1 98  0  0  0
 0  0      0 506552  44048 1055212    0    0     0     4 1006  328  0  2 98  0  0  0
 0  0      0 506908  44048 1055220    0    0     0     0  989  299  0  2 98  0  0  0
 0  0      0 506396  44048 1055220    0    0     0     0 1014  331  0  2 98  0  0  0
 0  0      0 506428  44048 1055224    0    0     0     0  910  330  0  1 99  0  0  0
 1  0      0 506756  44056 1055224    0    0     0    20 1040  359  0  2 98  0  0  0
 0  0      0 506336  44056 1055228    0    0     0     0  957  299  0  2 98  0  0  0
 0  0      0 506644  44056 1055228    0    0     0     0 1009  303  0  2 98  0  0  0
 0  0      0 506300  44056 1055232    0    0     0     0  840  295  0  1 99  0  0  0
 0  0      0 506028  44056 1055232    0    0     0     0  864  310  0  1 99  0  0  0
 0  0      0 505880  44064 1055236    0    0     0    16  744  266  0  1 99  0  0  0
 0  0      0 506204  44064 1055236    0    0     0     0 1016  356  0  2 98  0  0  0
 0  0      0 504604  44064 1055240    0    0     0     0  704  240  0  1 99  0  0  0
 0  0      0 506588  44064 1055240    0    0     0     0  791  276  0  1 99  0  0  0
 0  0      0 507176  44064 1055244    0    0     0     0  995  305  0  2 98  0  0  0
 0  0      0 506332  44072 1055248    0    0     0   140  808  321  0  1 99  0  0  0
 0  0      0 506372  44072 1055248    0    0     0     0  646  234  0  1 99  0  0  0
 0  0      0 506952  44072 1055252    0    0     0     0 1152  345  0  2 98  0  0  0
 0  0      0 503076  44072 1055252    0    0     0     0  806  257  0  1 99  0  0  0
