procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 1032404  43068 1068964    0    0     0     0 2452  373  0  0 100  0  0  0
 0  0      0 1032336  43068 1068968    0    0     0     0  749  397  0  0 99  0  0  0
 0  0      0 1029040  43076 1068972    0    0     0    28 1022  372  0  1 99  0  0  0
 0  0      0 1033868  43076 1068972    0    0     0     8  746  295  0  0 99  0  0  0
 0  0      0 1034668  43076 1068976    0    0     0     0  626  250  0  0 100  0  0  0
 0  0      0 1033780  43076 1068996    0    0     0     0 11734 1099  0  1 99  0  0  0
 0  0      0 1032976  43076 1068996    0    0     0     0 6007  304  0  0 100  0  0  0
 1  0      0 1030480  43084 1068996    0    0     0    40 12673  499  0  1 99  0  0  0
 0  0      0 1032872  43084 1069000    0    0     0   112 3847  273  0  0 100  0  0  0
 0  0      0 1034152  43084 1069000    0    0     0     0 4369  282  0  1 99  0  0  0
 0  0      0 1034008  43084 1069004    0    0     0     0  642  260  0  0 100  0  0  0
 0  0      0 1034600  43084 1069008    0    0     0     0  711  247  0  0 100  0  0  0
 0  0      0 1033476  43092 1069008    0    0     0    28  782  342  0  0 100  0  0  0
 0  0      0 1034188  43092 1069008    0    0     0     0  697  235  0  0 100  0  0  0
 0  0      0 1034260  43092 1069012    0    0     0     0  696  282  0  0 100  0  0  0
 0  0      0 1034012  43092 1069020    0    0     0    72  588  236  0  0 100  0  0  0
 0  0      0 1033876  43092 1069020    0    0     0     0  833  312  0  0 99  0  0  0
 0  0      0 1034244  43104 1069020    0    0     0    44  871  324  0  0 99  0  0  0
 0  0      0 1033488  43104 1069028    0    0     0     0  849  296  0  0 100  0  0  0
 0  0      0 1034280  43104 1069028    0    0     0     0  576  231  0  0 100  0  0  0
 0  0      0 1030152  43104 1069036    0    0     0     0 4078  322  0  1 99  0  0  0
 0  0      0 1037468  43104 1069036    0    0     0     8 3353  271  0  1 99  0  0  0
 0  0      0 1036668  43112 1069040    0    0     0    36 1704  369  0  0 99  0  0  0
 1  0      0 1033844  43112 1069040    0    0     0     0 5812  264  0  0 100  0  0  0
 0  0      0 1036592  43112 1069044    0    0     0     0 4937  268  0  0 100  0  0  0
 0  0      0 1036012  43112 1069044    0    0     0     0 7913  273  0  1 99  0  0  0
 0  0      0 1036380  43112 1069048    0    0     0     0  628  246  0  0 100  0  0  0
 0  0      0 1035980  43120 1069176    0    0     0    28  945  345  0  0 99  0  0  0
 1  0      0 1036044  43120 1069180    0    0     0     0  703  268  0  0 100  0  0  0
 0  0      0 1036080  43120 1069180    0    0     0     0  674  220  0  0 100  0  0  0
 0  0      0 1037744  43120 1069180    0    0     0     0  723  277  0  0 100  0  0  0
 0  0      0 1036924  43120 1069188    0    0     0     0  688  238  0  0 100  0  0  0
 0  0      0 1037056  43128 1069188    0    0     0    28  883  352  0  0 100  0  0  0
 0  0      0 1036284  43128 1069188    0    0     0    24  750  241  0  0 100  0  0  0
 0  0      0 1036060  43128 1069192    0    0     0     0  655  270  0  0 100  0  0  0
 0  0      0 1036384  43128 1069192    0    0     0     0 1032  259  0  0 100  0  0  0
 0  0      0 1036016  43128 1069196    0    0     0     0 1470  253  0  0 100  0  0  0
 0  0      0 1035860  43136 1069192    0    0     0    28  775  325  0  0 99  0  0  0
 0  0      0 1036140  43136 1069200    0    0     0     4  700  286  0  0 100  0  0  0
 0  0      0 1036416  43136 1069204    0    0     0     0  628  229  0  0 100  0  0  0
 0  0      0 1037160  43136 1069204    0    0     0     0  682  255  0  0 100  0  0  0
 1  0      0 1037176  43136 1069204    0    0     0     0  549  209  0  0 100  0  0  0
 0  0      0 1036588  43144 1069208    0    0     0    28  856  372  0  0 100  0  0  0
 0  0      0 1036664  43144 1069212    0    0     0   112  785  272  0  0 100  0  0  0
 0  0      0 1036908  43144 1069212    0    0     0     0  711  258  0  0 99  0  0  0
 0  0      0 1036812  43144 1069216    0    0     0     0  780  277  0  0 100  0  0  0
 0  0      0 1036644  43144 1069216    0    0     0    68  794  306  0  0 100  0  0  0
 0  0      0 1035004  43152 1069220    0    0     0    40 1094  401  0  1 99  0  0  0
 0  0      0 1034844  43152 1069228    0    0     0     0  699  270  0  0 100  0  0  0
 0  0      0 1034908  43152 1069228    0    0     0     0 7105  472  0  1 99  0  0  0
 0  0      0 1034964  43152 1069232    0    0     0     0 3601  285  0  1 99  0  0  0
 0  0      0 1034836  43152 1069232    0    0     0     0 6905  495  0  0 100  0  0  0
 0  0      0 1034736  43160 1069236    0    0     0    32 3808  383  0  0 100  0  0  0
 0  0      0 1034436  43160 1069236    0    0     0     0 12156  528  0  1 99  0  0  0
 0  0      0 1034404  43160 1069240    0    0     0     0 4118  363  0  0 100  0  0  0
 0  0      0 1034632  43160 1069240    0    0     0     0 11129  538  0  0 99  0  0  0
 0  0      0 1034220  43160 1069244    0    0     0     0 1985  590  0  0 100  0  0  0
 0  0      0 1034320  43168 1069236    0    0     0    28 1106  385  0  1 99  0  0  0
 0  0      0 1033092  43172 1069248    0    0     4     0  872  355  0  0 100  0  0  0
 0  0      0 1033596  43172 1069252    0    0     0     0 7397  387  0  0 99  0  0  0
 0  0      0 1032820  43172 1069252    0    0     0     0 2207  267  0  0 100  0  0  0
 0  0      0 1030040  43172 1069252    0    0     0     0  617  232  0  0 100  0  0  0
 0  0      0 1032568  43180 1069260    0    0     0    44 1484  386  0  0 100  0  0  0
 0  0      0 1032260  43180 1069260    0    0     0     0  631  226  0  0 100  0  0  0
 0  0      0 1033136  43180 1069264    0    0     0     0 2448  283  0  0 100  0  0  0
 0  0      0 1036388  43180 1069264    0    0     0     0 9152  353  0  1 99  0  0  0
 0  0      0 1036668  43180 1069268    0    0     0     0 2356  321  0  0 100  0  0  0
 0  0      0 1037052  43188 1069264    0    0     0    28 7854  532  0  0 99  0  0  0
 0  0      0 1037232  43188 1069276    0    0     0    24  813  288  0  0 100  0  0  0
 0  0      0 1038372  43188 1069280    0    0     0     0  663  224  0  0 100  0  0  0
 0  0      0 1038476  43188 1069280    0    0     0     0  636  258  0  0 100  0  0  0
 0  0      0 1038356  43188 1069280    0    0     0     0  873  271  0  1 99  0  0  0
 1  0      0 1038672  43196 1069288    0    0     0    28  762  341  0  0 100  0  0  0
 0  0      0 1038688  43196 1069288    0    0     0     8  946  280  0  1 99  0  0  0
 0  0      0 1039128  43196 1069288    0    0     0     0  650  255  0  0 100  0  0  0
 0  0      0 1040016  43196 1069292    0    0     0     0  995  311  0  1 99  0  0  0
 0  0      0 1039840  43196 1069292    0    0     0    72  921  286  0  0 99  0  0  0
 0  0      0 1039608  43204 1069288    0    0     0    48 1081  384  0  1 99  0  0  0
 0  0      0 1039516  43204 1069300    0    0     0   192  682  278  0  0 100  0  0  0
 0  0      0 1039488  43204 1069300    0    0     0     0  710  250  0  0 100  0  0  0
 0  0      0 1038864  43204 1069304    0    0     0     0 2960  273  0  0 99  0  0  0
 0  0      0 1039920  43204 1069304    0    0     0     0  722  269  0  0 100  0  0  0
 0  0      0 1039688  43212 1069300    0    0     0    28 2992  347  0  0 100  0  0  0
 0  0      0 1039364  43212 1069308    0    0     0     8 3586  281  0  0 100  0  0  0
 0  0      0 1038904  43212 1069308    0    0     0     0  752  264  0  0 100  0  0  0
 0  0      0 1038312  43212 1069316    0    0     0     0  780  254  0  0 100  0  0  0
 0  0      0 1038124  43212 1069316    0    0     0     0 4894  279  0  0 99  0  0  0
 0  0      0 1037488  43220 1069312    0    0     0    36  757  332  0  0 100  0  0  0
 0  0      0 1037640  43220 1069320    0    0     0     4  644  261  0  0 100  0  0  0
 0  0      0 1037608  43220 1069320    0    0     0     0  609  235  0  0 100  0  0  0
 0  0      0 1037616  43220 1069324    0    0     0     0  761  272  0  0 100  0  0  0
 0  0      0 1037924  43220 1069324    0    0     0     0  735  240  0  1 99  0  0  0
