procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 503916  43996 1060960    0    0     0     0  675  288  0  1 99  0  0  0
 2  0      0 500888  43996 1060964    0    0     0     0  856  295  0  1 99  0  0  0
 0  0      0 504272  43996 1060964    0    0     0     0  842  301  0  1 99  0  0  0
 0  0      0 504388  43996 1060968    0    0     0     0  728  315  0  1 99  0  0  0
 0  0      0 503752  43996 1060968    0    0     0     0  685  273  0  1 99  0  0  0
 1  0      0 502616  44004 1060976    0    0     0    16  588  257  0  0 100  0  0  0
 1  0      0 504564  44004 1060976    0    0     0     0  769  287  0  1 99  0  0  0
 0  0      0 504288  44004 1060980    0    0     0     0  743  265  0  1 99  0  0  0
 0  0      0 503956  44004 1060980    0    0     0     0  696  290  0  1 99  0  0  0
 0  0      0 503508  44004 1060984    0    0     0     0  811  282  0  1 99  0  0  0
 1  0      0 503348  44012 1060988    0    0     0   124  682  278  0  1 99  0  0  0
 0  0      0 503552  44012 1060988    0    0     0     0  687  258  0  1 99  0  0  0
 0  0      0 503144  44020 1060992    0    0     0    32  709  300  0  1 99  0  0  0
 2  0      0 478924  44056 1062680    0    0  1384    52 1317  635  2  2 95  1  0  0
 0  0      0 479072  44056 1062704    0    0     0     0  672  328  0  0 99  0  0  0
 0  0      0 479104  44056 1062704    0    0     0    68  537  262  0  0 100  0  0  0
 0  0      0 501880  44056 1062708    0    0     0     0  766  302  0  1 99  0  0  0
 0  0      0 501784  44056 1062708    0    0     0     0  609  254  0  1 99  0  0  0
 0  0      0 502684  44064 1062704    0    0     0   132  877  350  0  1 99  0  0  0
 0  0      0 503056  44064 1062704    0    0     0     4  562  234  0  0 100  0  0  0
 0  0      0 501732  44064 1062720    0    0     0     0  746  286  0  1 99  0  0  0
 0  0      0 502344  44064 1062828    0    0   104     0  774  289  0  1 99  0  0  0
 0  0      0 502228  44064 1062828    0    0     0     0  727  277  0  1 99  0  0  0
 0  0      0 501416  44072 1062800    0    0     0    28 1046  492  0  1 99  0  0  0
 0  0      0 504896  44072 1062812    0    0     0     0  782  473  0  1 99  0  0  0
 0  0      0 504388  44072 1062816    0    0     0   124  719  293  0  1 99  0  0  0
 0  0      0 505308  44072 1062816    0    0     0     0  731  294  0  1 99  0  0  0
 0  0      0 505216  44072 1062816    0    0     0     0  673  273  0  1 99  0  0  0
 0  0      0 505516  44072 1062816    0    0     0     0  767  299  0  1 99  0  0  0
 0  0      0 504836  44080 1062824    0    0     0    16  667  250  0  1 99  0  0  0
 0  0      0 504248  44080 1062824    0    0     0     0  525  251  0  0 100  0  0  0
 0  0      0 504520  44080 1062828    0    0     0     0  660  276  0  1 99  0  0  0
 1  0      0 504760  44080 1062828    0    0     0     0  635  273  0  1 99  0  0  0
 0  0      0 504892  44080 1062832    0    0     0     0  664  336  0  0 99  0  0  0
 0  0      0 505232  44088 1062832    0    0     0    16  752  303  0  1 99  0  0  0
 0  0      0 504904  44088 1062836    0    0     0     0  701  264  0  1 99  0  0  0
 0  0      0 504744  44096 1062832    0    0     0    28  672  301  0  1 99  0  0  0
 0  0      0 504376  44096 1062832    0    0     0     0  494  232  0  0 100  0  0  0
 3  0      0 504280  44096 1062844    0    0     0     0  676  273  0  1 99  0  0  0
 0  0      0 504384  44096 1062848    0    0     0     0  564  251  0  0 99  0  0  0
 0  0      0 504264  44096 1062848    0    0     0     0  672  268  0  1 99  0  0  0
 0  0      0 504520  44104 1062844    0    0     0    24  829  447  0  1 99  0  0  0
 0  0      0 505452  44104 1062856    0    0     0     0  640  256  0  1 99  0  0  0
 0  0      0 505324  44104 1062856    0    0     0   416  630  266  0  1 99  0  0  0
 1  0      0 503968  44104 1062860    0    0     0     8  875  323  0  1 99  0  0  0
 0  0      0 505444  44104 1062860    0    0     0     0  649  262  0  1 99  0  0  0
 0  0      0 504832  44112 1062856    0    0     0   112  716  305  0  0 99  0  0  0
 0  0      0 505272  44112 1062864    0    0     0     0  528  238  0  0 100  0  0  0
 0  0      0 505812  44112 1062868    0    0     0     0  877  321  0  1 99  0  0  0
 0  0      0 505580  44112 1062872    0    0     0     0  702  295  0  1 99  0  0  0
 0  0      0 504888  44112 1062872    0    0     0     8  720  294  0  0 100  0  0  0
 0  0      0 505444  44120 1062876    0    0     0    24  661  268  0  1 99  0  0  0
 0  0      0 505696  44120 1062876    0    0     0     0  749  310  0  1 99  0  0  0
 0  0      0 505840  44120 1062876    0    0     0     0  740  282  0  1 99  0  0  0
 0  0      0 503548  44120 1062904    0    0     0     0 1429  643  1  2 98  0  0  0
 0  0      0 504368  44120 1062908    0    0     0     0  824  338  0  1 99  0  0  0
 0  1      0 505384  44128 1062912    0    0     0    92  611  274  0  1 99  0  0  0
 0  0      0 505332  44128 1062916    0    0     0     0  839  295  0  1 99  0  0  0
 0  0      0 505580  44128 1062916    0    0     0     0  642  283  0  0 100  0  0  0
 0  0      0 505960  44128 1062920    0    0     0   100  767  300  0  1 99  0  0  0
 0  0      0 505156  44128 1062920    0    0     0     0  960  332  0  1 99  0  0  0
 0  0      0 505064  44128 1062924    0    0     0     0  542  227  0  0 99  0  0  0
 0  0      0 505276  44136 1062924    0    0     0    16  891  327  0  1 99  0  0  0
 0  0      0 505540  44136 1062928    0    0     0     0  808  284  0  1 99  0  0  0
 0  0      0 504972  44136 1062928    0    0     0     0  685  355  0  0 100  0  0  0
 0  0      0 504760  44136 1062928    0    0     0     0  685  268  0  1 99  0  0  0
 0  0      0 505556  44136 1062936    0    0     0     0  783  305  0  1 99  0  0  0
 0  0      0 505928  44144 1062936    0    0     0    16  842  266  0  1 99  0  0  0
 1  0      0 505872  44144 1062944    0    0     0     0  750  300  0  1 99  0  0  0
 0  0      0 504552  44144 1062944    0    0     0     0  619  244  0  0 100  0  0  0
 0  0      0 505360  44144 1062944    0    0     0     0  751  280  0  1 99  0  0  0
 0  0      0 504780  44144 1062948    0    0     0     0  699  253  0  1 99  0  0  0
 0  0      0 504944  44152 1062952    0    0     0    16  626  264  0  0 100  0  0  0
 0  0      0 505168  44152 1062952    0    0     0     0  476  224  0  0 100  0  0  0
 0  0      0 505128  44152 1062952    0    0     0     0  672  297  0  1 99  0  0  0
 0  0      0 505104  44152 1062956    0    0     0     0  735  297  0  0 99  0  0  0
 0  0      0 504824  44152 1062960    0    0     0     0  771  293  0  1 99  0  0  0
 0  0      0 505428  44160 1062964    0    0     0    88  665  270  0  0 99  0  0  0
 0  0      0 505752  44160 1062964    0    0     0     0  707  286  0  1 99  0  0  0
 0  0      0 505564  44160 1062968    0    0     0     0  665  274  0  1 99  0  0  0
 0  0      0 505964  44160 1062968    0    0     0     0  685  277  0  1 99  0  0  0
 1  0      0 505088  44160 1062972    0    0     0     8  525  250  0  0 99  0  0  0
 0  0      0 505156  44168 1062972    0    0     0    24  621  277  0  0 99  0  0  0
 0  0      0 504528  44168 1062976    0    0     0     0  611  283  0  1 99  0  0  0
 0  0      0 503208  44168 1062956    0    0     0     0 1127  615  0  1 99  0  0  0
 0  0      0 504904  44168 1062960    0    0     0   220  955  370  0  1 99  0  0  0
 0  0      0 505752  44168 1062960    0    0     0     0  788  330  0  1 99  0  0  0
 0  0      0 505348  44180 1062964    0    0     0    80  804  281  0  1 99  0  0  0
