r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,time,Principale1,Principale2,Principale3,Cluster
9,0,0,677992,51396,493300,0,0,79,8,4086,70,21,20,57,2,0,0 2025-10-22,"0,1203494549","-5,714775352","25,882402779",
6,0,0,670124,51396,493268,0,0,0,4,8800,29703,46,50,1,3,0,0 2025-10-22,"2,3401579252","-4,990380923","2,1297661463",1
7,1,0,670492,51404,493288,0,0,0,30,8522,28272,49,47,1,3,0,0 2025-10-22,"2,5351787037","-4,996235193","3,1353968207",1
7,0,0,671500,51404,493272,0,0,0,0,8222,27707,48,48,1,3,0,0 2025-10-22,"2,3189774039","-4,892666244","1,9306710523",1
5,0,0,672236,51404,493288,0,0,0,0,4543,13836,43,54,1,2,0,0 2025-10-22,"1,2792345222","-4,897284753","1,9474877079",1
4,2,0,675016,51412,493236,0,0,0,12,5411,16740,45,52,1,3,0,0 2025-10-22,"1,8440856031","-5,233390204","1,7833655079",1
6,0,0,670240,51412,493288,0,0,0,0,4792,14429,44,50,2,4,0,0 2025-10-22,"1,7302906207","-4,935599121","2,0419427836",1
6,0,0,671540,51412,493276,0,0,0,0,6234,20195,43,50,2,5,0,0 2025-10-22,"2,1607112506","-4,947491708","1,9467945212",1
5,2,0,674060,51412,493204,0,0,0,0,8635,29823,44,47,3,5,0,0 2025-10-22,"2,8104897296","-5,31344933","1,1821335279",1
5,0,0,681696,51412,493308,0,0,0,0,8353,28648,49,43,3,5,0,0 2025-10-22,"2,317113812","-4,462084213","1,5798123413",1
5,0,0,680776,51412,493280,0,0,0,0,8375,28605,42,49,3,6,0,0 2025-10-22,"2,5143223112","-4,666429891","1,5549146601",1
7,0,0,681756,51412,493304,0,0,0,0,8585,29246,45,47,3,5,0,0 2025-10-22,"2,554005169","-4,450180901","1,6037114087",1
6,3,0,682044,51412,493280,0,0,0,0,7935,27137,46,46,3,5,0,0 2025-10-22,"2,8282860877","-4,684417446","0,832889177",1
6,0,0,679992,51412,493232,0,0,0,0,8640,27912,50,42,3,5,0,0 2025-10-22,"2,4938839572","-4,946559721","1,501746276",1
5,2,0,681420,51412,493296,0,0,0,0,8438,27428,51,42,3,4,0,0 2025-10-22,"2,4524816216","-4,575404113","1,101829834",1
8,2,0,664612,51412,493500,0,0,0,0,8572,28637,52,42,3,4,0,0 2025-10-22,"2,7933786437","-3,705243094","2,2321710967",1
7,0,0,665544,51412,493684,0,0,0,40,8378,27814,46,47,3,5,0,0 2025-10-22,"2,3990596777","-2,776237586","4,8604614682",2
7,0,0,656388,51420,494000,0,0,98,16,8441,27725,48,45,2,5,0,0 2025-10-22,"2,606924292","-1,940882916","34,079675967",7
6,0,0,656248,51420,493876,0,0,0,0,8220,27066,50,44,2,4,0,0 2025-10-22,"2,010204626","-1,620123595","3,7873810291",2
11,0,0,657800,51428,493952,0,0,0,8,8018,25700,50,44,2,4,0,0 2025-10-22,"2,3863382309","-1,082160468","4,3530635565",2
5,0,0,656688,51428,493960,0,0,0,14,7968,25262,48,45,2,4,0,0 2025-10-22,"1,7723735774","-1,18532826","4,5759786701",2
9,1,0,656360,51428,493940,0,0,0,0,8783,28608,47,45,3,5,0,0 2025-10-22,"2,6375053559","-1,192731457","3,7385995122",2
12,0,0,662492,51428,493960,0,0,0,0,8466,26990,47,47,2,4,0,0 2025-10-22,"2,5054203338","-0,850853399","3,8392547097",2
13,0,0,655660,51428,493912,0,0,0,0,8932,28258,45,48,3,4,0,0 2025-10-22,"2,7453622698","-1,284956831","4,0131022243",2
8,0,0,677520,51428,493416,0,0,0,0,8490,27818,46,47,2,4,0,0 2025-10-22,"2,4028662363","-3,818583874","2,0294727214",1
11,0,0,676468,51428,493516,0,0,0,0,9189,31014,48,44,3,5,0,0 2025-10-22,"2,9250879856","-3,189834281","2,3285140196",1
3,2,0,673504,51436,493476,0,0,0,22,9093,30845,43,49,3,5,0,0 2025-10-22,"2,5116135053","-3,76384646","2,7473758169",1
8,0,0,676288,51436,493512,0,0,0,0,9298,31717,47,45,3,5,0,0 2025-10-22,"2,6610804043","-3,238695288","2,2703912334",1
6,2,0,674524,51444,493424,0,0,0,20,9215,31886,45,48,2,5,0,0 2025-10-22,"2,8964092467","-3,969732027","2,560256411",1
9,0,0,675432,51444,493516,0,0,0,0,9054,31587,48,44,3,5,0,0 2025-10-22,"2,7378941643","-3,205256037","2,3335110942",1
5,0,0,675204,51444,493500,0,0,0,0,9198,31613,48,44,3,5,0,0 2025-10-22,"2,3713543695","-3,363813482","2,232679541",1
6,2,0,674708,51444,493408,0,0,0,0,8913,30589,47,46,2,4,0,0 2025-10-22,"2,6501928229","-3,953267982","1,6127414411",1
7,0,0,684292,51452,493484,0,0,0,6,8573,29324,46,46,3,5,0,0 2025-10-22,"2,3980693101","-3,238086669","2,1708481091",1
7,0,0,688692,51452,493448,0,0,0,0,9087,30755,45,47,3,5,0,0 2025-10-22,"2,464212598","-3,302979934","1,6464343241",1
13,0,0,677880,51468,493496,0,0,0,38,8092,26472,45,47,3,5,0,0 2025-10-22,"2,9469171769","-3,3844668","4,0238439386",2
8,0,0,680616,51468,493472,0,0,0,0,9184,30947,48,43,3,5,0,0 2025-10-22,"2,6051636356","-3,302935499","2,0283069505",1
8,0,0,680012,51468,493504,0,0,0,0,9025,30430,50,42,3,5,0,0 2025-10-22,"2,5756176823","-3,126886753","2,1209043465",1
3,1,0,679304,51476,493488,0,0,0,96,8785,30084,48,44,3,5,0,0 2025-10-22,"2,3070465856","-3,831772754","6,167370459",2
9,1,0,677896,51476,493504,0,0,0,0,9116,31193,44,47,3,5,0,0 2025-10-22,"2,8596388296","-3,164473908","1,9879414891",1
8,2,0,679208,51484,493488,0,0,0,8,9051,31203,46,46,3,5,0,0 2025-10-22,"2,9345225679","-3,287101578","2,0182453107",1
6,0,0,679632,51484,493484,0,0,0,0,9190,30944,45,47,3,5,0,0 2025-10-22,"2,4258329098","-3,243244589","2,0564740149",1
6,1,0,681944,51484,493456,0,0,0,42,9041,30857,47,46,2,5,0,0 2025-10-22,"2,6270644716","-3,599964337","3,5902359896",2
6,0,0,678796,51484,493492,0,0,0,46,9197,31075,48,44,3,5,0,0 2025-10-22,"2,4667900951","-3,459726424","4,2020754347",2
7,0,0,679832,51484,493548,0,0,0,0,9078,31280,46,46,3,5,0,0 2025-10-22,"2,4719945814","-2,83802467","2,2037578544",1
5,0,0,680180,51484,493500,0,0,0,0,9113,31460,46,46,3,6,0,0 2025-10-22,"2,4967020643","-3,157863764","2,049422823",1
4,1,0,680820,51484,493504,0,0,0,0,9098,31350,46,46,3,5,0,0 2025-10-22,"2,3606217784","-3,144103521","1,7833713589",1
5,1,0,680936,51484,493500,0,0,0,0,8877,31400,48,45,3,5,0,0 2025-10-22,"2,4593196719","-3,151328684","1,7896183825",1
7,1,0,681548,51484,493448,0,0,0,0,8874,31054,45,47,3,5,0,0 2025-10-22,"2,665991851","-3,42404548","1,6940263088",1
10,0,0,681964,51484,493436,0,0,0,0,9016,31026,45,48,3,5,0,0 2025-10-22,"2,8406687436","-3,416818394","1,9397406752",1
5,0,0,680756,51484,493464,0,0,0,0,8951,31269,48,44,3,5,0,0 2025-10-22,"2,3183764976","-3,352604236","1,9529685312",1
7,0,0,681964,51484,493432,0,0,0,0,9037,31409,48,44,3,5,0,0 2025-10-22,"2,5403424032","-3,484975778","1,8751123656",1
5,0,0,680016,51484,493448,0,0,0,0,9084,30924,47,44,3,6,0,0 2025-10-22,"2,503645883","-3,479861104","1,9468683861",1
8,0,0,678956,51484,493500,0,0,0,0,9077,30819,46,47,2,5,0,0 2025-10-22,"2,628503858","-3,133110455","2,1537189092",1
7,1,0,679128,51484,493496,0,0,0,0,9076,30906,47,45,2,5,0,0 2025-10-22,"2,6711081993","-3,19105454","1,887843205",1
6,0,0,742228,51484,493492,0,0,0,0,9052,30892,45,47,3,5,0,0 2025-10-22,"1,8787554041","-1,662680298","-0,322899594",5
7,0,0,743564,51484,493452,0,0,0,0,9083,30958,43,49,3,5,0,0 2025-10-22,"2,0018039922","-1,855801063","-0,440950537",5
3,1,0,743848,51484,493480,0,0,0,0,8962,31058,44,48,3,5,0,0 2025-10-22,"1,7311441735","-1,761431826","-0,698942198",5
5,2,0,744188,51484,493480,0,0,0,0,8991,31261,45,47,3,5,0,0 2025-10-22,"2,0876460253","-1,744396789","-0,907812701",5
7,0,0,743076,51492,493496,0,0,0,84,9040,30992,46,46,3,5,0,0 2025-10-22,"2,0364268543","-2,03073899","3,502070567",2
2,4,0,743720,51492,493544,0,0,0,0,8805,29714,46,46,3,5,0,0 2025-10-22,"2,002986557","-1,446646155","-1,269191934",6
3,4,0,742288,51492,493504,0,0,0,10,8822,30119,47,45,3,5,0,0 2025-10-22,"2,1629620149","-1,759623113","-0,825923397",5
6,0,0,741744,51500,493464,0,0,0,8,8975,30841,48,44,3,5,0,0 2025-10-22,"1,8995195529","-1,848379619","0,0042860375",5
6,1,0,742896,51500,493496,0,0,0,0,9101,30948,50,43,3,5,0,0 2025-10-22,"2,0444186047","-1,602278865","-0,570486721",5
7,0,0,742336,51500,493512,0,0,0,4,9216,31346,47,45,3,5,0,0 2025-10-22,"1,9874596714","-1,503511791","-0,082221488",5
8,0,0,743732,51500,493496,0,0,0,0,9082,31252,48,44,3,5,0,0 2025-10-22,"2,0683361454","-1,531909132","-0,332459553",5
