r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,time,Principale1,Principale2,Cluster
9,0,0,677992,51396,493300,0,0,79,8,4086,70,21,20,57,2,0,0 2025-10-22,"0,1203494549","-5,714775352",
6,0,0,670124,51396,493268,0,0,0,4,8800,29703,46,50,1,3,0,0 2025-10-22,"2,3401579252","-4,990380923",1
7,1,0,670492,51404,493288,0,0,0,30,8522,28272,49,47,1,3,0,0 2025-10-22,"2,5351787037","-4,996235193",1
7,0,0,671500,51404,493272,0,0,0,0,8222,27707,48,48,1,3,0,0 2025-10-22,"2,3189774039","-4,892666244",1
5,0,0,672236,51404,493288,0,0,0,0,4543,13836,43,54,1,2,0,0 2025-10-22,"1,2792345222","-4,897284753",1
4,2,0,675016,51412,493236,0,0,0,12,5411,16740,45,52,1,3,0,0 2025-10-22,"1,8440856031","-5,233390204",1
6,0,0,670240,51412,493288,0,0,0,0,4792,14429,44,50,2,4,0,0 2025-10-22,"1,7302906207","-4,935599121",1
6,0,0,671540,51412,493276,0,0,0,0,6234,20195,43,50,2,5,0,0 2025-10-22,"2,1607112506","-4,947491708",1
5,2,0,674060,51412,493204,0,0,0,0,8635,29823,44,47,3,5,0,0 2025-10-22,"2,8104897296","-5,31344933",1
5,0,0,681696,51412,493308,0,0,0,0,8353,28648,49,43,3,5,0,0 2025-10-22,"2,317113812","-4,462084213",1
5,0,0,680776,51412,493280,0,0,0,0,8375,28605,42,49,3,6,0,0 2025-10-22,"2,5143223112","-4,666429891",1
7,0,0,681756,51412,493304,0,0,0,0,8585,29246,45,47,3,5,0,0 2025-10-22,"2,554005169","-4,450180901",1
6,3,0,682044,51412,493280,0,0,0,0,7935,27137,46,46,3,5,0,0 2025-10-22,"2,8282860877","-4,684417446",1
6,0,0,679992,51412,493232,0,0,0,0,8640,27912,50,42,3,5,0,0 2025-10-22,"2,4938839572","-4,946559721",1
5,2,0,681420,51412,493296,0,0,0,0,8438,27428,51,42,3,4,0,0 2025-10-22,"2,4524816216","-4,575404113",1
8,2,0,664612,51412,493500,0,0,0,0,8572,28637,52,42,3,4,0,0 2025-10-22,"2,7933786437","-3,705243094",2
7,0,0,665544,51412,493684,0,0,0,40,8378,27814,46,47,3,5,0,0 2025-10-22,"2,3990596777","-2,776237586",2
7,0,0,656388,51420,494000,0,0,98,16,8441,27725,48,45,2,5,0,0 2025-10-22,"2,606924292","-1,940882916",3
6,0,0,656248,51420,493876,0,0,0,0,8220,27066,50,44,2,4,0,0 2025-10-22,"2,010204626","-1,620123595",4
11,0,0,657800,51428,493952,0,0,0,8,8018,25700,50,44,2,4,0,0 2025-10-22,"2,3863382309","-1,082160468",5
5,0,0,656688,51428,493960,0,0,0,14,7968,25262,48,45,2,4,0,0 2025-10-22,"1,7723735774","-1,18532826",4
9,1,0,656360,51428,493940,0,0,0,0,8783,28608,47,45,3,5,0,0 2025-10-22,"2,6375053559","-1,192731457",4
12,0,0,662492,51428,493960,0,0,0,0,8466,26990,47,47,2,4,0,0 2025-10-22,"2,5054203338","-0,850853399",5
13,0,0,655660,51428,493912,0,0,0,0,8932,28258,45,48,3,4,0,0 2025-10-22,"2,7453622698","-1,284956831",4
8,0,0,677520,51428,493416,0,0,0,0,8490,27818,46,47,2,4,0,0 2025-10-22,"2,4028662363","-3,818583874",2
11,0,0,676468,51428,493516,0,0,0,0,9189,31014,48,44,3,5,0,0 2025-10-22,"2,9250879856","-3,189834281",2
3,2,0,673504,51436,493476,0,0,0,22,9093,30845,43,49,3,5,0,0 2025-10-22,"2,5116135053","-3,76384646",2
8,0,0,676288,51436,493512,0,0,0,0,9298,31717,47,45,3,5,0,0 2025-10-22,"2,6610804043","-3,238695288",2
6,2,0,674524,51444,493424,0,0,0,20,9215,31886,45,48,2,5,0,0 2025-10-22,"2,8964092467","-3,969732027",2
9,0,0,675432,51444,493516,0,0,0,0,9054,31587,48,44,3,5,0,0 2025-10-22,"2,7378941643","-3,205256037",2
5,0,0,675204,51444,493500,0,0,0,0,9198,31613,48,44,3,5,0,0 2025-10-22,"2,3713543695","-3,363813482",2
6,2,0,674708,51444,493408,0,0,0,0,8913,30589,47,46,2,4,0,0 2025-10-22,"2,6501928229","-3,953267982",2
7,0,0,684292,51452,493484,0,0,0,6,8573,29324,46,46,3,5,0,0 2025-10-22,"2,3980693101","-3,238086669",2
7,0,0,688692,51452,493448,0,0,0,0,9087,30755,45,47,3,5,0,0 2025-10-22,"2,464212598","-3,302979934",2
13,0,0,677880,51468,493496,0,0,0,38,8092,26472,45,47,3,5,0,0 2025-10-22,"2,9469171769","-3,3844668",2
