r,b,free,buff,cache,bi,bo,in,cs,us,sy,id,wa,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7,Principale8,Cluster
0,0,505956,44008,1055160,0,0,879,293,0,1,99,0,"-0,208858388","-1,830268102","-0,307929222","0,1457972023","-0,128287962","-0,077171266","-0,369701238","-1,047762348",7
0,0,504976,44016,1055156,0,16,1114,392,0,2,98,0,"2,3920582876","-1,813811383","-1,129890294","-0,359471258","-0,4295655","-0,380401947","-0,459907074","0,5343286749",1
0,0,505288,44016,1055164,0,0,851,285,0,1,99,0,"-0,286962656","-1,850861053","-0,348953795","0,1676630679","-0,088744425","-0,09026305","-0,408617902","-1,094720775",7
0,0,506648,44016,1055164,0,0,1125,301,0,2,98,0,"1,9816792527","-1,88289649","-1,457232943","-0,418079778","-0,735371975","-0,09703707","-0,117206141","0,6197546744",1
0,0,507264,44016,1055168,0,0,1072,504,0,2,98,0,"2,5305459581","-1,713813553","-0,894222043","-0,427306869","-0,791698848","-0,031945635","0,0191123951","0,2811328412",1
0,0,507204,44016,1055168,0,0,674,264,0,1,99,0,"-0,853719545","-1,992613827","-0,060995034","0,2381160659","-0,076483166","-0,076492739","-0,214869445","-0,981608597",7
1,0,504744,44016,1055172,0,0,1409,511,1,3,97,0,"6,2500541027","-1,506335534","-1,390709253","-1,1453657","0,432167748","1,0900422304","1,2410157551","0,965119897",1
0,0,506612,44024,1055180,0,28,922,344,0,1,98,0,"0,9162233579","-1,724989745","0,1844479565","0,1098416802","0,168100255","-0,496654355","-0,591434529","-0,447680212",7
0,0,506752,44024,1055180,0,0,864,279,0,1,99,0,"-0,322173291","-1,825043814","-0,262795559","0,1462113798","-0,147501751","-0,06920428","-0,312236382","-0,961537474",7
0,0,506204,44024,1055184,0,0,893,302,0,1,99,0,"-0,154945044","-1,783055226","-0,284039662","0,1343453624","-0,146185763","-0,069284963","-0,353494429","-1,033469372",7
0,0,506800,44024,1055184,0,0,732,258,0,1,99,0,"-0,721162151","-1,944232495","-0,167694755","0,2141762232","-0,085210182","-0,080928362","-0,266936805","-0,975450564",7
0,0,506480,44024,1055188,0,0,826,296,0,1,99,0,"-0,349114179","-1,837181298","-0,205666328","0,1654977255","-0,125268144","-0,07016348","-0,3111319","-1,029240968",7
0,0,506536,44032,1055188,0,24,772,262,0,1,99,0,"-0,492485763","-1,905194317","0,1382090963","0,2688204115","0,3017085915","-0,507729987","-0,691555073","-0,664092584",7
0,0,506336,44032,1055192,0,0,901,320,0,1,99,0,"-0,07930145","-1,745411698","-0,241901829","0,1261274738","-0,159670397","-0,061286022","-0,340279448","-1,049522738",7
0,0,506680,44032,1055192,0,0,823,268,0,1,98,0,"0,2781738774","-1,855474122","-0,298404144","0,0841832153","-0,231330349","-0,024359561","-0,118034154","-0,71790887",7
0,0,506704,44032,1055196,0,0,899,347,1,1,98,0,"1,8557501573","-1,430140177","1,0302986526","0,2460468671","-0,331647361","0,3350201481","0,3440439678","-1,77095381",8
0,0,506748,44032,1055196,0,0,622,257,0,1,99,0,"-0,996065777","-2,014671454","-0,0587375","0,2691554768","-0,034456424","-0,086836429","-0,229295855","-1,021255937",7
0,0,506696,44040,1055200,0,116,893,341,0,1,99,0,"0,4931530064","-1,742865123","1,581113975","0,473514128","1,7376503965","-2,110958114","-2,203196537","0,4857509539",10
1,0,506252,44040,1055200,0,0,787,276,0,1,99,0,"-0,421829","-1,926988683","-0,455867264","-0,165066779","1,7005083253","0,7729499859","0,4513606204","-0,847373996",6
0,0,506344,44040,1055204,0,0,854,287,0,1,99,0,"-0,310862406","-1,800667643","-0,266995891","0,1537772504","-0,130002133","-0,072484328","-0,333582414","-1,00675451",7
3,0,504096,44040,1055204,0,0,742,262,0,1,99,0,"-0,336981267","-2,115618863","-1,063015488","-0,827157595","5,3938956482","2,4412278081","1,8516542344","-0,659657251",5
0,0,506108,44040,1055208,0,0,1066,354,0,1,99,0,"0,4491438021","-1,575674539","-0,357025566","0,0415212968","-0,233323913","-0,046407415","-0,405706908","-1,056555814",7
1,0,502244,44048,1055208,0,24,782,269,0,1,98,0,"0,5111187698","-1,955869786","-0,466901482","-0,13118914","2,1427032415","0,3359390626","-0,036603854","-0,583473031",6
0,0,506552,44048,1055212,0,4,1006,328,0,2,98,0,"1,7946396357","-1,893735665","-1,220469457","-0,350957478","-0,620757276","-0,165622082","-0,133563561","0,5775727294",1
0,0,506908,44048,1055220,0,0,989,299,0,2,98,0,"1,6237223669","-1,931884906","-1,300600154","-0,354283295","-0,684397823","-0,0984515","-0,047185641","0,5970295844",1
0,0,506396,44048,1055220,0,0,1014,331,0,2,98,0,"1,8109857975","-1,883967934","-1,294388956","-0,365815734","-0,685203991","-0,09560083","-0,08110403","0,5100675097",1
0,0,506428,44048,1055224,0,0,910,330,0,1,99,0,"-0,029580288","-1,701113773","-0,222789723","0,118639627","-0,169755396","-0,055657575","-0,332946321","-1,051300072",7
1,0,506756,44056,1055224,0,20,1040,359,0,2,98,0,"2,1394738701","-1,890781699","-1,158250535","-0,681012935","1,406361453","0,4173690082","0,3877891876","0,9428240436",1
0,0,506336,44056,1055228,0,0,957,299,0,2,98,0,"1,5603248732","-1,946463106","-1,311912732","-0,332609339","-0,648888883","-0,108004979","-0,075020817","0,5415302934",1
0,0,506644,44056,1055228,0,0,1009,303,0,2,98,0,"1,6928385998","-1,901734661","-1,333613736","-0,362251748","-0,684452284","-0,099774478","-0,071405691","0,5802183959",1
0,0,506300,44056,1055232,0,0,840,295,0,1,99,0,"-0,320523051","-1,776754248","-0,238712602","0,1594464185","-0,124327653","-0,070562649","-0,327853279","-1,025215167",7
0,0,506028,44056,1055232,0,0,864,310,0,1,99,0,"-0,201506461","-1,745302714","-0,251221723","0,1482869347","-0,128923283","-0,06910646","-0,350615722","-1,063326117",7
0,0,505880,44064,1055236,0,16,744,266,0,1,99,0,"-0,572474187","-1,871675249","0,003574712","0,2637609687","0,2056617437","-0,373619048","-0,593313009","-0,830432786",7
0,0,506204,44064,1055236,0,0,1016,356,0,2,98,0,"1,9038247133","-1,832939817","-1,255779855","-0,368892653","-0,68587339","-0,090206152","-0,08549585","0,4562229209",1
0,0,504604,44064,1055240,0,0,704,240,0,1,99,0,"-0,795143415","-1,931189389","-0,352532891","0,2525068598","0,0144320577","-0,117652634","-0,415621674","-1,113375704",7
0,0,506588,44064,1055240,0,0,791,276,0,1,99,0,"-0,51735232","-1,818099093","-0,208139822","0,1831325792","-0,108185895","-0,073676958","-0,295582268","-0,986558167",7
0,0,507176,44064,1055244,0,0,995,305,0,2,98,0,"1,6469947448","-1,893558227","-1,273519368","-0,361550167","-0,698678964","-0,091520763","-0,027648006","0,6149155101",1
0,0,506332,44072,1055248,0,140,808,321,0,1,99,0,"0,3282621211","-1,782010634","1,9547804056","0,5937532961","2,1902696921","-2,550788061","-2,595576694","0,7877780918",10
0,0,506372,44072,1055248,0,0,646,234,0,1,99,0,"-1,014501746","-1,957381045","-0,167803374","0,2630850912","-0,024445525","-0,095530935","-0,271058037","-0,986239585",7
0,0,506952,44072,1055252,0,0,1152,345,0,2,98,0,"2,1763049703","-1,724466641","-1,366180451","-0,44305471","-0,770682822","-0,075246435","-0,087506685","0,5940579892",1
0,0,503076,44072,1055252,0,0,806,257,0,1,99,0,"-0,440794488","-1,833760448","-0,540974443","0,2154069326","0,0218997114","-0,129982278","-0,555019697","-1,217853704",7
0,0,506384,44072,1055256,0,0,858,327,0,1,99,0,"-0,172646772","-1,704333319","-0,179765696","0,1444698306","-0,144276601","-0,058281137","-0,31641517","-1,063352322",7
0,0,506900,44080,1055256,0,32,851,292,0,1,99,0,"-0,180903149","-1,737393167","0,268162029","0,2439035313","0,3769909423","-0,629196474","-0,813426652","-0,534168868",7
0,0,506176,44080,1055260,0,0,819,284,0,1,98,0,"0,3267621225","-1,767078468","-0,30032311","0,0874907533","-0,215017936","-0,024586611","-0,143941916","-0,772055491",7
0,0,506284,44080,1055260,0,0,1096,345,0,2,97,0,"2,7957065539","-1,758920789","-1,407451412","-0,492864678","-0,828703025","-0,036787562","0,0743737102","0,7650876063",1
0,0,506068,44080,1055264,0,0,819,304,0,1,99,0,"-0,340201057","-1,745816694","-0,215812242","0,1701799339","-0,108834998","-0,071012115","-0,331876304","-1,060494189",7
0,0,506616,44080,1055264,0,0,923,315,0,1,99,0,"-0,062783903","-1,653738079","-0,257722386","0,1111892454","-0,17825597","-0,054693474","-0,328354779","-0,993815996",7
